movie_id,name,year,genre,director_id,actor1,actor2
15,$30,1999,Comedy-Short,15797,223733,289908,
17,$300 y tickets,2002,Short,63223,30376,178485,
17,$300 y tickets,2002,Short,63231,30376,178485,
18,$40000,1996,Comedy,47837,3373,23089,
21,$5.15/Hr.,2004,Comedy-Drama,47088,19404,24351,
22,$5.20 an Hour Dream The,1980,Drama,51672,44857,94843,
31,$pent,2000,Drama,12896,17438,33275,
32,$ucces Part One,1986,Documentary-Music,33903,75914,89020,
32,$ucces Part One,1986,Documentary-Music,53439,75914,89020,
32,$ucces Part One,1986,Documentary-Music,56576,75914,89020,
33,$windle,2002,Action-Crime-Thriller,5163,45097,90000,
34,& frres,2000,Short,31154,121070,174497,
36,'15',2002,Documentary-Short,78122,83122,445874,
38,'38,1987,Drama,28972,58881,63811,
42,'60s Pop Rock Reunion,2004,Music,82452,89751,276892,
43,'60s The,1999,Drama,62834,17314,26725,
44,'68,1988,Drama,42543,55816,261254,
46,'70s: The Decade That Changed Television The,2000,Documentary,61660,128099,144589,
52,'A' gai waak,1983,Action-Comedy,13407,35199,61375,
52,'A' gai waak,1983,Action-Comedy,35973,35199,61375,
53,'A' gai waak juk jaap,1987,Action-Comedy-Crime,13407,34093,79975,
57,'Ang Galing galing mo Babes',2002,Drama,60357,281464,291962,
61,'As se hizo' - Torremolinos 73,2003,Documentary-Short,79957,38551,87104,
62,'Babicky dobjejte presne!',1983,Horror-Sci-Fi,68969,160726,196808,
64,'Bats' Abound,1999,Documentary,71532,189012,274463,
67,'Billy Elliot' Boy The,2001,Documentary,35182,35256,101665,
69,'Breaker' Morant,1980,Drama-War,6423,25320,25332,
73,'burbs The,1989,Comedy-Family-Horror,17776,4593,108164,
74,'C' Word The,1993,Comedy-Short,72033,279727,615162,
77,'Catch Me If You Can': Behind the Camera,2003,Documentary-Short,8996,275,121758,
94,'Crocodile' Dundee II,1988,Action-Adventure-Comedy,16031,6750,12566,
100,'E',1981,Animation-Comedy-Short,63081,15361,73013,
117,'Halloween 4' Final Cut,2001,Documentary-Horror-Short,13171,4882,159358,
118,'Halloween' Unmasked 2000,1999,Documentary-Horror,13171,4882,12488,
120,'Hellboy': The Seeds of Creation,2004,Documentary,75125,7740,8612,
130,'Imhar' une lgende,1997,Drama-Family,21406,1075,9880,
136,'Java Madness' formerly titled 'Coffee Madness',1995,Comedy-Short,23500,143166,344542,
137,'Je vous salue Marie',1985,Drama-Fantasy,29002,121795,252998,
141,'Kaash',1987,Drama-Family,7090,10914,18650,
152,'M' Word,1996,Comedy-Romance,60774,13077,35670,
153,'Mad' Boy I'll Blow Your Blues Away. Be Mine,1997,Short,15439,133224,295569,
158,'Master Harold'... and the Boys,1985,Drama,47042,58577,238631,
159,'Meng' jiu jia zhi ye,1992,Drama,17425,123165,525710,
160,'Merci la vie',1991,Drama,7841,1138,20118,
165,'Midnight Cowboy' Revisited,1994,Documentary-Short,25001,203594,210860,
168,'Ming wang xing' xing dong,1992,Crime,64431,81149,526007,
171,'Moonlight Mile': A Journey to Screen,2003,Documentary-Short,40539,75974,190221,
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,Music-Short,20105,30736,82259,
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,Music-Short,36827,30736,82259,
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,Music-Short,57755,30736,82259,
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,Music-Short,86513,30736,82259,
180,'N Sync: Making the Tour,2000,Documentary-Music,12068,30736,82259,
184,'Ne gnstige Gelegenheit,1999,Comedy-Crime-Romance,67693,4579,31771,
195,'Night Mother,1986,Drama,55110,39023,244736,
196,'Non' ou A V Glria de Mandar,1990,Drama,18716,8635,23879,
198,'O re,1989,Comedy,49231,334,17321,
204,'Panaderos' Los,1992,Comedy,12814,3729,77404,
220,'Rope' Unleashed,2001,Documentary-Short,8996,101241,181901,
223,'Round Midnight,1986,Drama-Music,78439,35854,40195,
230,'Salem's Lot,2004,Drama-Horror-Mystery-Thriller,69652,11349,18404,
245,'Space: 1999' Documentary The,1996,Documentary,49652,11552,66811,
245,'Space: 1999' Documentary The,1996,Documentary,61367,11552,66811,
251,'t bolleken,1988,Drama-Family,20141,40712,41257,
261,'Til Death Do Us Part (1998/I),1998,Short,59365,82023,603539,
262,'Til Death Do Us Part,2002,Horror,29705,81166,134974,
262,'Til Death Do Us Part,2002,Horror,53363,81166,134974,
263,'Til There Was You,1997,Comedy-Romance,85962,1668,6821,
275,'Tong tatlong tatay kong pakitong-kitong,1998,Comedy,37620,21975,25209,
275,'Tong tatlong tatay kong pakitong-kitong,1998,Comedy,62883,21975,25209,
279,'Twas the Night,2001,Comedy-Family,12825,13969,51453,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,19309,53749,117773,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,30290,53749,117773,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,46315,53749,117773,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,75067,53749,117773,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,84811,53749,117773,
292,'Weird Al' Yankovic Video Library: His Greatest Hits The,1992,Comedy-Music-Short,87131,53749,117773,
293,'Weird Al' Yankovic: (There's No),1996,Comedy,46315,97412,195778,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,19309,22916,30298,
